donor_id,Last_Transaction,Frequency,Monetary,Recency,donor_segment,tangga_donatur_keterangan,dominant_program,affinity_score
G20537,29-07-22 6:29,1,250000,886,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20538,03-01-23 12:09,6,450000,728,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20539,15-07-22 15:23,1,20000,900,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20541,15-07-22 18:49,1,20000,900,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G20542,15-07-22 21:36,1,50000,900,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20544,18-07-22 9:42,1,22000,897,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G20546,03-08-22 2:22,2,150000,881,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20548,19-07-22 11:04,1,50000,896,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20549,20-07-22 0:21,1,1000000,895,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Yatim & Pendidikan,100
G20550,20-07-22 4:46,1,20000,895,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20551,23-05-23 11:38,7,25872250,588,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,71.42857142857143
G20553,20-07-22 16:16,1,50000,895,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G20555,21-07-22 6:53,1,200000,894,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G20556,21-07-22 18:04,1,500000,894,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,100
G20557,21-07-22 21:24,1,50000,894,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20558,22-07-22 0:30,1,43000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20559,22-07-22 1:00,1,50000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20560,29-07-22 3:55,2,40000,886,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20561,22-07-22 5:19,1,20000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20562,22-07-22 5:28,1,25000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20563,22-07-22 9:10,1,20000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20564,22-07-22 9:50,1,100000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G20565,22-07-22 15:21,1,50000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20566,25-11-22 10:32,2,500000,767,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,100
G20567,22-07-22 10:37,1,20000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20568,22-07-22 10:38,1,50000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20569,23-07-22 18:44,3,60000,892,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20570,22-07-22 10:43,1,100000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20571,22-07-22 10:47,1,150000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20572,22-07-22 11:17,1,20000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20573,22-07-22 11:54,1,50000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20574,22-07-22 12:32,1,20000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20575,22-07-22 14:10,1,100000,893,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20577,21-04-23 14:07,2,100000,620,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Donasi Umum/Lainnya,50
G20578,04-10-23 19:02,9,2511000,454,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,100
G20579,01-09-22 21:19,1,100000,852,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G20580,03-03-23 4:49,3,90000,669,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,66.66666666666666
G20581,24-07-22 9:26,1,200000,891,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G20583,21-04-23 19:02,2,600000,620,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Yatim & Pendidikan,50
G20584,23-08-24 9:06,4,500000,130,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,75
G20585,25-07-22 10:03,1,125000,890,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G20586,25-07-22 10:22,1,250000,890,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20587,12-07-24 10:38,3,120000,172,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Yatim & Pendidikan,66.66666666666666
G20589,25-07-22 19:03,1,200000,890,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20590,25-07-22 20:46,1,25000,890,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20591,24-04-24 5:14,7,350000,251,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20593,26-07-22 8:16,1,250000,889,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G20594,28-03-24 9:05,4,800000,278,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,75
G20595,03-01-23 21:42,3,200000,728,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,33.33333333333333
G20596,14-03-23 6:33,9,1050000,658,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,66.66666666666666
G20597,31-08-22 15:13,2,200000,853,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20598,01-11-22 13:29,2,250000,791,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20599,26-07-22 19:13,1,200000,889,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20600,31-10-24 16:43,10,600000,61,Unclassified / General Donor,Donatur dengan profil umum di luar matriks utama.,Yatim & Pendidikan,50
G20602,27-07-22 3:13,1,20000,888,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20604,19-08-22 15:26,1,125033,865,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G20605,03-08-22 4:59,2,55000,881,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20606,16-09-24 6:06,8,400000,106,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20607,27-07-22 7:21,1,20000,888,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20609,27-07-22 8:57,1,100000,888,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20610,27-07-22 11:12,1,1000000,888,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,100
G20611,27-07-22 13:06,1,180000,888,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G20613,08-08-23 11:10,6,138000,511,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20614,28-07-22 3:36,1,20000,887,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20615,28-07-22 4:38,1,20000,887,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20616,01-08-22 5:03,2,40000,883,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20617,24-02-23 9:35,9,310000,676,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,33.33333333333333
G20618,28-07-22 8:15,1,150000,887,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G20620,28-07-22 8:59,1,20000,887,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20622,28-07-22 16:17,1,50000,887,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G20623,28-07-22 18:04,1,500000,887,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Yatim & Pendidikan,100
G20625,29-07-22 5:23,1,100000,886,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20626,29-07-22 6:01,1,100000,886,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20628,29-07-22 8:42,1,170000,886,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G20629,29-07-22 9:13,1,20808,886,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20631,29-11-24 10:19,33,3800000,32,Active Donor (Mulai Aktif),Donatur mulai punya kebiasaan berdonasi. Perlu diberikan edukasi & reminder konsisten.,Sedekah/Infaq,63.63636363636363
G20632,29-07-22 11:56,1,200000,886,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20633,01-09-22 5:25,2,300000,852,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Yatim & Pendidikan,50
G20634,02-09-22 15:41,2,850000,851,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20636,29-07-22 13:28,1,100000,886,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G20638,29-07-22 16:19,1,20000,886,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20639,29-07-22 16:36,1,100000,886,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20642,26-08-22 18:59,2,150000,858,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20644,19-10-22 20:03,2,100000,804,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20645,16-08-23 20:52,3,40000,503,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Yatim & Pendidikan,66.66666666666666
G20646,26-08-22 13:09,2,400000,858,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20647,28-12-24 6:55,19,1263000,3,Reactivated Donor (Kembali Aktif),Donatur yang sempat tidak aktif lalu berdonasi lagi. Perlu disambut hangat agar tidak hilang lagi.,Sedekah/Infaq,89.47368421052632
G20648,30-07-22 3:28,1,100000,885,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20650,30-07-22 5:29,1,20000,885,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20651,05-05-23 5:40,6,140000,606,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,83.33333333333334
G20652,30-07-22 5:48,1,20000,885,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20653,30-07-22 7:35,2,6701259,885,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Yatim & Pendidikan,50
G20654,30-07-22 11:41,2,200000,885,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20656,30-07-22 16:26,1,100000,885,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20657,30-07-22 17:25,1,20000,885,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20659,19-08-22 4:45,10,1000000,865,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20661,31-07-22 5:42,1,20000,884,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20662,03-08-22 6:05,2,100000,881,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,100
G20663,07-10-22 16:56,2,150000,816,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20664,01-08-22 4:05,1,20000,883,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20665,14-10-22 5:07,3,60000,809,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20666,08-05-23 10:21,2,30000,603,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Donasi Umum/Lainnya,50
G20667,01-08-22 5:27,1,50000,883,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20668,08-04-24 5:26,12,435000,267,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,75
G20671,01-08-22 9:28,1,300000,883,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G20673,07-04-23 10:46,3,991000,634,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Yatim & Pendidikan,66.66666666666666
G20675,01-08-22 13:51,1,50000,883,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20676,01-08-22 14:54,1,150000,883,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20677,01-08-22 17:00,2,501000,883,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20679,01-08-22 19:29,1,100000,883,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G20681,02-08-22 4:07,1,30199,882,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20682,02-08-22 4:50,1,150000,882,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20683,03-08-22 5:57,2,100000,881,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20684,18-08-22 5:44,2,50000,866,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20685,02-08-22 5:22,1,100000,882,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20686,04-08-23 10:20,3,320426,515,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,66.66666666666666
G20687,02-08-22 5:46,1,50000,882,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20688,02-08-22 5:49,1,100000,882,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20690,28-03-24 22:18,3,370000,278,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,66.66666666666666
G20691,06-06-23 10:16,2,510000,574,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Ramadhan & Fitrah,50
G20692,02-08-22 16:12,1,500000,882,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,100
G20693,03-08-22 2:21,1,50000,881,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20694,03-08-22 2:25,1,20000,881,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20697,03-08-22 2:36,1,100000,881,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G20698,11-11-22 5:15,2,40000,781,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20699,03-08-22 3:33,1,100000,881,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20700,30-09-23 4:16,3,40000,458,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,66.66666666666666
G20701,19-04-23 18:34,5,80000,622,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,40
G20703,20-08-22 8:29,3,60000,864,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,66.66666666666666
G20705,31-07-23 12:08,2,1200000,519,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,100
G20708,20-10-22 11:44,2,150000,803,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,100
G20710,19-04-23 13:30,3,2160000,622,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,66.66666666666666
G20711,16-10-22 5:52,3,120000,807,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,66.66666666666666
G20712,26-09-22 4:52,4,85000,827,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G20713,04-08-22 5:23,1,20000,880,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20714,04-08-22 10:47,1,100000,880,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G20715,02-02-23 11:06,3,600000,698,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,100
G20717,04-08-22 21:50,1,20000,880,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G20719,05-08-22 2:09,1,50000,879,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
